ts,nav,cash_nav,unrealized
1777296600,9935.81445062,9935.81445062,0.0
1777297500,9935.81445062,9935.81445062,0.0
1777298400,9935.57601879,9935.66541397,-0.08939518
1777299300,9935.6604792,9935.49510767,0.16537153
1777300200,9936.15064008,9935.49510767,0.65553241
1777301100,9935.43618994,9935.43618994,0.0
1777302000,9935.43618994,9935.43618994,0.0
1777302900,9935.43618994,9935.43618994,0.0
1777303800,9935.31697811,9935.36167417,-0.04469605
1777304700,9935.10934671,9935.10934671,0.0
1777305600,9934.99013881,9935.03483339,-0.04469458
1777306500,9934.7467582,9934.7467582,0.0
1777307400,9934.7467582,9934.7467582,0.0
1777308300,9934.7467582,9934.7467582,0.0
1777309200,9934.7467582,9934.7467582,0.0
1777310100,9934.62755465,9934.6722476,-0.04469295
1777311000,9934.39232836,9934.39232836,0.0
1777311900,9934.39232836,9934.39232836,0.0
1777312800,9934.39232836,9934.39232836,0.0
1777313700,9934.39232836,9934.39232836,0.0
1777314600,9934.39232836,9934.39232836,0.0
1777315500,9934.39232836,9934.39232836,0.0
1777316400,9934.15393065,9934.24331303,-0.08938238
1777317300,9933.01284893,9933.01284893,0.0
1777318200,9932.77448432,9932.86385429,-0.08936997
1777319100,9932.77564636,9932.64696078,0.12868558
1777320000,9932.74402702,9932.57246592,0.1715611
1777320900,9933.10578297,9932.57246592,0.53331704
1777321800,9933.12387962,9932.57246592,0.55141369
1777322700,9932.82666349,9932.82666349,0.0
1777323600,9932.82666349,9932.82666349,0.0
1777324500,9932.82666349,9932.82666349,0.0
1777325400,9932.82666349,9932.82666349,0.0
1777326300,9932.82666349,9932.82666349,0.0
1777327200,9932.58830335,9932.67767165,-0.08936829
1777328100,9932.95492077,9932.67767165,0.27724912
1777329000,9933.13200827,9932.67767165,0.45433663
1777329900,9933.33359523,9932.67767165,0.65592358
1777330800,9932.7701377,9932.7701377,0.0
1777331700,9932.7701377,9932.7701377,0.0
1777332600,9932.7701377,9932.7701377,0.0
1777333500,9932.7701377,9932.7701377,0.0
1777334400,9932.65095786,9932.69564192,-0.04468406
1777335300,9932.28425374,9932.28425374,0.0
1777336200,9932.28425374,9932.28425374,0.0
1777337100,9932.28425374,9932.28425374,0.0
1777338000,9932.28425374,9932.28425374,0.0
1777338900,9932.28425374,9932.28425374,0.0
1777339800,9932.28425374,9932.28425374,0.0
1777340700,9932.28425374,9932.28425374,0.0
1777341600,9932.28425374,9932.28425374,0.0
1777342500,9932.28425374,9932.28425374,0.0
1777343400,9932.28425374,9932.28425374,0.0
1777344300,9932.28425374,9932.28425374,0.0
1777345200,9932.28425374,9932.28425374,0.0
1777346100,9932.28425374,9932.28425374,0.0
1777347000,9932.28425374,9932.28425374,0.0
1777347900,9932.28425374,9932.28425374,0.0
1777348800,9932.16507973,9932.20976161,-0.04468187
1777349700,9931.72683032,9931.72683032,0.0
1777350600,9931.72683032,9931.72683032,0.0
1777351500,9931.72683032,9931.72683032,0.0
1777352400,9931.72683032,9931.72683032,0.0
1777353300,9931.72683032,9931.72683032,0.0
1777354200,9931.72683032,9931.72683032,0.0
1777355100,9931.72683032,9931.72683032,0.0
1777356000,9931.72683032,9931.72683032,0.0
1777356900,9931.72683032,9931.72683032,0.0
1777357800,9931.72683032,9931.72683032,0.0
1777358700,9931.72683032,9931.72683032,0.0
1777359600,9931.72683032,9931.72683032,0.0
1777360500,9931.607663,9931.65234236,-0.04467937
1777361400,9931.92491093,9931.65234236,0.27256856
1777362300,9932.2401965,9931.65234236,0.58785413
1777363200,9932.04997953,9932.04997953,0.0
1777364100,9932.04997953,9932.04997953,0.0
1777365000,9932.04997953,9932.04997953,0.0
1777365900,9932.04997953,9932.04997953,0.0
1777366800,9932.04997953,9932.04997953,0.0
1777367700,9932.04997953,9932.04997953,0.0
1777368600,9932.04997953,9932.04997953,0.0
1777369500,9932.04997953,9932.04997953,0.0
1777370400,9932.04997953,9932.04997953,0.0
1777371300,9932.04997953,9932.04997953,0.0
1777372200,9932.04997953,9932.04997953,0.0
1777373100,9932.04997953,9932.04997953,0.0
1777374000,9932.04997953,9932.04997953,0.0
1777374900,9932.04997953,9932.04997953,0.0
1777375800,9931.93080834,9931.97548916,-0.04468082
1777376700,9931.3313793,9931.37605742,-0.04467812
1777377600,9931.48791231,9931.37605742,0.11185489
1777378500,9931.12718459,9931.12718459,0.0
1777379400,9931.12718459,9931.12718459,0.0
1777380300,9931.12718459,9931.12718459,0.0
1777381200,9931.12718459,9931.12718459,0.0
1777382100,9930.88886524,9930.97821824,-0.089353
1777383000,9930.99430033,9930.90373591,0.09056443
1777383900,9930.40102514,9930.17028715,0.23073799
1777384800,9929.9992888,9929.9992888,0.0
1777385700,9929.9992888,9929.9992888,0.0
1777386600,9929.76099651,9929.85033937,-0.08934286
1777387500,9930.17475943,9929.85033937,0.32442007
1777388400,9930.35096593,9929.85033937,0.50062657
1777389300,9930.40602168,9929.85033937,0.55568231
1777390200,9929.96515603,9929.96515603,0.0
1777391100,9929.96515603,9929.96515603,0.0
