ts,nav,cash_nav,unrealized
1767312900,10204.59119428,9999.77500169,204.8161926
1767313800,10206.73076101,9999.77500169,206.95575932
1767314700,10209.1144471,9999.77500169,209.33944541
1767315600,10205.94773325,10205.94773325,0.0
1767316500,10205.94773325,10205.94773325,0.0
1767317400,10205.94773325,10205.94773325,0.0
1767318300,10205.94773325,10205.94773325,0.0
1767319200,10205.94773325,10205.94773325,0.0
1767320100,10205.94773325,10205.94773325,0.0
1767321000,10205.94773325,10205.94773325,0.0
1767321900,10205.94773325,10205.94773325,0.0
1767322800,10205.94773325,10205.94773325,0.0
1767323700,10205.94773325,10205.94773325,0.0
1767324600,10205.94773325,10205.94773325,0.0
1767325500,10205.94773325,10205.94773325,0.0
1767326400,10205.94773325,10205.94773325,0.0
1767327300,10205.94773325,10205.94773325,0.0
1767328200,10205.94773325,10205.94773325,0.0
1767329100,10205.94773325,10205.94773325,0.0
1767330000,10205.94773325,10205.94773325,0.0
1767330900,10205.94773325,10205.94773325,0.0
1767331800,10205.94773325,10205.94773325,0.0
1767332700,10205.94773325,10205.94773325,0.0
1767333600,10205.94773325,10205.94773325,0.0
1767334500,10205.94773325,10205.94773325,0.0
1767335400,10205.94773325,10205.94773325,0.0
1767336300,10205.94773325,10205.94773325,0.0
1767337200,10205.94773325,10205.94773325,0.0
1767338100,10205.94773325,10205.94773325,0.0
1767339000,10205.94773325,10205.94773325,0.0
1767339900,10205.94773325,10205.94773325,0.0
1767340800,10205.94773325,10205.94773325,0.0
1767341700,10205.94773325,10205.94773325,0.0
1767342600,10205.94773325,10205.94773325,0.0
1767343500,10205.94773325,10205.94773325,0.0
1767344400,10205.94773325,10205.94773325,0.0
1767345300,10205.94773325,10205.94773325,0.0
1767346200,10205.94773325,10205.94773325,0.0
1767347100,10205.94773325,10205.94773325,0.0
1767348000,10205.94773325,10205.94773325,0.0
1767348900,10205.94773325,10205.94773325,0.0
1767349800,10205.94773325,10205.94773325,0.0
1767350700,10205.94773325,10205.94773325,0.0
1767351600,10205.94773325,10205.94773325,0.0
1767352500,10205.94773325,10205.94773325,0.0
1767353400,10205.94773325,10205.94773325,0.0
1767354300,10205.94773325,10205.94773325,0.0
1767355200,10205.94773325,10205.94773325,0.0
1767356100,10205.94773325,10205.94773325,0.0
1767357000,10205.94773325,10205.94773325,0.0
1767357900,10205.94773325,10205.94773325,0.0
1767358800,10205.94773325,10205.94773325,0.0
1767359700,10205.94773325,10205.94773325,0.0
1767360600,10205.94773325,10205.94773325,0.0
1767361500,10205.94773325,10205.94773325,0.0
1767362400,10205.94773325,10205.94773325,0.0
1767363300,10205.94773325,10205.94773325,0.0
1767364200,10205.94773325,10205.94773325,0.0
1767365100,10205.94773325,10205.94773325,0.0
1767366000,10205.94773325,10205.94773325,0.0
1767366900,10205.94773325,10205.94773325,0.0
1767367800,10205.94773325,10205.94773325,0.0
1767368700,10205.94773325,10205.94773325,0.0
1767369600,10205.94773325,10205.94773325,0.0
1767370500,10205.94773325,10205.94773325,0.0
1767371400,10205.94773325,10205.94773325,0.0
1767372300,10205.94773325,10205.94773325,0.0
1767373200,10205.94773325,10205.94773325,0.0
1767374100,10205.94773325,10205.94773325,0.0
1767375000,10205.94773325,10205.94773325,0.0
