ts,nav,cash_nav,unrealized
1767508200,102256.2691763,102119.05469128,137.21448502
1767509100,102295.31822158,102119.05469128,176.26353031
1767510000,102336.11059089,102119.05469128,217.05589961
1767510900,102260.84751177,102260.84751177,0.0
1767511800,102253.94615795,102256.24584266,-2.29968471
1767512700,102198.34482532,102198.34482532,0.0
1767513600,102191.44768966,102193.74596879,-2.29827913
1767514500,102236.9276285,102193.74596879,43.18165971
1767515400,102283.8961058,102193.74596879,90.15013702
1767516300,102332.28113586,102193.74596879,138.53516707
1767517200,102382.03226064,102193.74596879,188.28629185
1767518100,102433.00313393,102193.74596879,239.25716515
1767519000,102485.15592676,102193.74596879,291.40995797
1767519900,102418.62389181,102418.62389181,0.0
1767520800,102411.71189002,102414.01512287,-2.30323286
1767521700,102363.36810012,102363.36810012,0.0
1767522600,102356.45982741,102358.76181765,-2.30199024
1767523500,102407.01526936,102358.76181765,48.25345171
1767524400,102457.90038185,102358.76181765,99.1385642
1767525300,102508.966383,102358.76181765,150.20456535
1767526200,102560.0922993,102358.76181765,201.33048165
1767527100,102611.12590271,102358.76181765,252.36408506
1767528000,102661.92119372,102358.76181765,303.15937607
1767528900,102592.13214972,102592.13214972,0.0
1767529800,102585.20843824,102587.51557302,-2.30713478
1767530700,102531.44030382,102531.44030382,0.0
1767531600,102524.5206883,102526.82645822,-2.30576992
1767532500,102567.51257685,102526.82645822,40.68611864
1767533400,102609.63190613,102526.82645822,82.80544792
1767534300,102650.79816435,102526.82645822,123.97170613
1767535200,102690.94146369,102526.82645822,164.11500548
1767536100,102729.97256526,102526.82645822,203.14610704
1767537000,102767.89065852,102526.82645822,241.0642003
1767537900,102685.83381177,102685.83381177,0.0
1767538800,102678.90377657,102681.21301856,-2.30924198
1767539700,102611.99782695,102611.99782695,0.0
1767540600,102605.07277478,102607.38035631,-2.30758153
1767541500,102634.83909829,102607.38035631,27.45874198
1767542400,102663.63833333,102607.38035631,56.25797702
1767543300,102691.56306753,102607.38035631,84.18271122
1767544200,102718.63842529,102607.38035631,111.25806898
1767545100,102745.00031502,102607.38035631,137.61995872
1767546000,102770.71559249,102607.38035631,163.33523618
1767546900,102678.91542586,102678.91542586,0.0
1767547800,102671.98585757,102674.29494397,-2.3090864
1767548700,102596.24533318,102596.24533318,0.0
1767549600,102589.32134411,102591.62857139,-2.30722728
1767550500,102612.41273935,102591.62857139,20.78416796
1767551400,102635.62474573,102591.62857139,43.99617434
1767552300,102659.15117771,102591.62857139,67.52260632
1767553200,102683.08455535,102591.62857139,91.45598396
