ts,symbol,direction,price,hybrid_score,passes_threshold,regime,rq_score,rv_score,trend,carry,expectancy,router
2026-03-19T21:30:21.238773+00:00,ETHUSDT,LONG,2147.42,0.492704,True,normal,0.8,0.0,0.5,0.6651,0.5094,0.5286
2026-03-19T21:30:21.238773+00:00,SOLUSDT,LONG,88.99,0.42019,True,normal,0.8,0.0,0.5,0.3864,0.5009,0.4673
2026-03-19T21:37:17.555528+00:00,BTCUSDT,LONG,70471.2,0.49934,True,normal,0.8,0.0,0.5,0.6477,0.5095,0.6067
2026-03-19T21:37:17.555528+00:00,ETHUSDT,LONG,2148.91,0.487062,True,normal,0.8,0.0,0.5,0.64,0.5095,0.5286
2026-03-19T21:37:17.555528+00:00,SOLUSDT,LONG,89.0,0.419391,True,normal,0.8,0.0,0.5,0.3828,0.5009,0.4673
2026-03-19T21:43:51.166515+00:00,BTCUSDT,LONG,70432.1,0.499166,True,normal,0.8,0.0,0.5,0.6477,0.5095,0.6054
2026-03-19T21:43:51.166515+00:00,ETHUSDT,LONG,2143.83,0.487062,True,normal,0.8,0.0,0.5,0.64,0.5095,0.5286
2026-03-19T21:43:51.166515+00:00,SOLUSDT,LONG,89.03,0.419391,True,normal,0.8,0.0,0.5,0.3828,0.5009,0.4673
2026-03-19T21:50:52.505791+00:00,ETHUSDT,LONG,2146.53,0.488165,True,normal,0.8,0.0,0.5,0.645,0.5093,0.5286
2026-03-19T21:50:52.505791+00:00,SOLUSDT,LONG,89.02,0.414228,True,normal,0.8,0.0,0.5,0.3599,0.5009,0.4673
2026-03-19T21:56:39.112479+00:00,ETHUSDT,LONG,2150.47,0.488165,True,normal,0.8,0.0,0.5,0.645,0.5093,0.5286
2026-03-19T21:56:39.112479+00:00,SOLUSDT,LONG,89.06,0.414228,True,normal,0.8,0.0,0.5,0.3599,0.5009,0.4673
