symbol,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,fees,net_pnl,exit_reason
ETHUSDT,1777227300,1777228200,2363.478831,2358.182333,0.06310176,-0.33421833,0.14897256,-0.48319089,signal
SOLUSDT,1777226400,1777228200,86.545956,86.653996,1.72325539,0.18618051,0.14923388,0.03694664,signal
SOLUSDT,1777230000,1777230900,86.876055,86.67399,1.71661769,-0.34686835,0.14895954,-0.49582789,signal
BTCUSDT,1777230000,1777231800,78278.4765,78044.37966,0.00190517,-0.44599513,0.14891109,-0.59490623,signal
BTCUSDT,1777233600,1777236300,78207.65526,78138.05155,0.00190669,-0.13271268,0.14905137,-0.28176405,signal
ETHUSDT,1777234500,1777237200,2366.749812,2364.360479,0.06300481,-0.15053946,0.14904134,-0.2995808,signal
ETHUSDT,1777239900,1777240800,2363.688894,2359.411964,0.06308271,-0.26980032,0.14897299,-0.41877331,signal
SOLUSDT,1777239900,1777241700,86.796031,86.893924,1.71789852,0.16817024,0.14919086,0.01897938,signal
BTCUSDT,1777239900,1777242600,78149.03768,78159.04525,0.00190801,0.01909453,0.14911856,-0.13002403,signal
SOLUSDT,1777243500,1777245300,86.605974,86.584017,1.72160252,-0.03780123,0.14908216,-0.18688339,signal
SOLUSDT,1777246200,1777248000,86.856049,86.77396,1.71661342,-0.14091508,0.1490278,-0.28994288,signal
BTCUSDT,1777249800,1777251600,78723.61,79058.67528,0.00189389,0.63457701,0.1494112,0.48516581,signal
ETHUSDT,1777249800,1777251600,2371.791324,2375.98699,0.06286084,0.26374308,0.14922466,0.11451842,signal
SOLUSDT,1777249800,1777255200,86.916067,87.423765,1.71535228,0.87088092,0.14952711,0.72135381,signal
BTCUSDT,1777258800,1777259700,79182.84773,79126.05506,0.00188314,-0.10694871,0.14905913,-0.25600784,signal
SOLUSDT,1777256100,1777259700,87.52625,87.583717,1.70364577,0.09790341,0.14916268,-0.05125927,signal
BTCUSDT,1777260600,1777261500,79201.55334,79097.2637,0.00188264,-0.19633983,0.14900983,-0.34534966,signal
ETHUSDT,1777259700,1777261500,2397.599064,2395.950999,0.06219087,-0.10249459,0.14905752,-0.25155211,signal
BTCUSDT,1777263300,1777264200,79221.65937,79005.69118,0.00188206,-0.40646577,0.14889693,-0.5553627,signal
ETHUSDT,1777266900,1777267800,2380.683991,2368.639195,0.06262563,-0.75431293,0.14871468,-0.9030276,signal
BTCUSDT,1777267800,1777268700,78623.58,77678.48946,0.00189626,-1.79213697,0.14819465,-1.94033161,signal
SOLUSDT,1777272300,1777273200,85.745716,85.67429,1.73826973,-0.12415765,0.1489871,-0.27314476,signal
ETHUSDT,1777278600,1777281300,2311.973384,2316.964702,0.06446661,0.32177335,0.14920597,0.17256738,signal
ETHUSDT,1777282200,1777283100,2322.866651,2320.023784,0.0641654,-0.18241371,0.14895647,-0.33137017,signal
ETHUSDT,1777293000,1777293900,2315.034302,2311.666292,0.06438034,-0.21683364,0.14893429,-0.36576793,signal
ETHUSDT,1777298400,1777299300,2313.513846,2312.026184,0.06442028,-0.09583561,0.1489893,-0.24482491,signal
SOLUSDT,1777298400,1777301100,85.135533,85.144449,1.75057457,0.01560812,0.1490439,-0.13343578,signal
SOLUSDT,1777303800,1777304700,84.165242,84.064773,1.77070177,-0.17790064,0.14894259,-0.32684323,signal
ETHUSDT,1777305600,1777306500,2277.653091,2274.387479,0.06542991,-0.2136687,0.14891981,-0.36258851,signal
BTCUSDT,1777310100,1777311000,76845.24666,76739.27131,0.00193924,-0.2055114,0.14891845,-0.35442984,signal
BTCUSDT,1777316400,1777317300,76850.24816,76670.89183,0.00193904,-0.34777952,0.148842,-0.49662151,signal
ETHUSDT,1777316400,1777317300,2289.436625,2278.156348,0.06508796,-0.73421026,0.14864766,-0.88285792,signal
SOLUSDT,1777318200,1777319100,84.155239,84.07477,1.77046702,-0.14246771,0.14892284,-0.29139055,signal
BTCUSDT,1777318200,1777322700,76744.61648,76898.12364,0.00194144,0.29802519,0.14914421,0.14888098,signal
SOLUSDT,1777320000,1777322700,84.135233,84.194734,1.77083606,0.10536652,0.14904239,-0.04367587,signal
ETHUSDT,1777327200,1777330800,2287.596073,2289.422967,0.06513055,0.11898662,0.14905189,-0.03006527,signal
